image_path,q1
/content/drive/MyDrive/dataset/1/survey1.jpg,4
/content/drive/MyDrive/dataset/1/survey2.jpg,7
/content/drive/MyDrive/dataset/1/survey3.jpg,6
/content/drive/MyDrive/dataset/1/survey4.jpg,7
/content/drive/MyDrive/dataset/1/survey5.jpg,6
/content/drive/MyDrive/dataset/1/survey6.jpg,4
/content/drive/MyDrive/dataset/1/survey7.jpg,7
/content/drive/MyDrive/dataset/1/survey8.jpg,4
/content/drive/MyDrive/dataset/1/survey9.jpg,6
/content/drive/MyDrive/dataset/1/survey10.jpg,5
/content/drive/MyDrive/dataset/1/survey11.jpg,4
/content/drive/MyDrive/dataset/1/survey12.jpg,4
/content/drive/MyDrive/dataset/1/survey13.jpg,6
/content/drive/MyDrive/dataset/1/survey14.jpg,2
/content/drive/MyDrive/dataset/1/survey15.jpg,7
/content/drive/MyDrive/dataset/1/survey16.jpg,6
/content/drive/MyDrive/dataset/1/survey17.jpg,7
/content/drive/MyDrive/dataset/1/survey18.jpg,4
/content/drive/MyDrive/dataset/1/survey19.jpg,6
/content/drive/MyDrive/dataset/1/survey20.jpg,2
/content/drive/MyDrive/dataset/1/survey21.jpg,4
/content/drive/MyDrive/dataset/1/survey22.jpg,6
/content/drive/MyDrive/dataset/1/survey23.jpg,5
/content/drive/MyDrive/dataset/1/survey24.jpg,5
/content/drive/MyDrive/dataset/1/survey25.jpg,4
/content/drive/MyDrive/dataset/1/survey26.jpg,6
/content/drive/MyDrive/dataset/1/survey27.jpg,6
/content/drive/MyDrive/dataset/1/survey28.jpg,5
/content/drive/MyDrive/dataset/1/survey29.jpg,5
/content/drive/MyDrive/dataset/1/survey30.jpg,6
/content/drive/MyDrive/dataset/1/survey31.jpg,4
/content/drive/MyDrive/dataset/1/survey32.jpg,5
/content/drive/MyDrive/dataset/1/survey33.jpg,6
/content/drive/MyDrive/dataset/1/survey34.jpg,2
/content/drive/MyDrive/dataset/1/survey35.jpg,3
/content/drive/MyDrive/dataset/1/survey36.jpg,4
/content/drive/MyDrive/dataset/1/survey37.jpg,5
/content/drive/MyDrive/dataset/1/survey38.jpg,5
/content/drive/MyDrive/dataset/1/survey39.jpg,7
/content/drive/MyDrive/dataset/1/survey40.jpg,6
/content/drive/MyDrive/dataset/1/survey41.jpg,6
/content/drive/MyDrive/dataset/1/survey42.jpg,7
/content/drive/MyDrive/dataset/1/survey43.jpg,4
/content/drive/MyDrive/dataset/1/survey44.jpg,6
/content/drive/MyDrive/dataset/1/survey45.jpg,7
/content/drive/MyDrive/dataset/1/survey46.jpg,1
/content/drive/MyDrive/dataset/1/survey47.jpg,7
/content/drive/MyDrive/dataset/1/survey48.jpg,5
/content/drive/MyDrive/dataset/1/survey49.jpg,5
/content/drive/MyDrive/dataset/1/survey50.jpg,5
/content/drive/MyDrive/dataset/2/survey1.jpg,4
/content/drive/MyDrive/dataset/2/survey2.jpg,7
/content/drive/MyDrive/dataset/2/survey3.jpg,6
/content/drive/MyDrive/dataset/2/survey4.jpg,7
/content/drive/MyDrive/dataset/2/survey5.jpg,6
/content/drive/MyDrive/dataset/2/survey6.jpg,5
/content/drive/MyDrive/dataset/2/survey7.jpg,7
/content/drive/MyDrive/dataset/2/survey8.jpg,5
/content/drive/MyDrive/dataset/2/survey9.jpg,6
/content/drive/MyDrive/dataset/2/survey10.jpg,5
/content/drive/MyDrive/dataset/2/survey11.jpg,7
/content/drive/MyDrive/dataset/2/survey12.jpg,3
/content/drive/MyDrive/dataset/2/survey13.jpg,7
/content/drive/MyDrive/dataset/2/survey14.jpg,7
/content/drive/MyDrive/dataset/2/survey15.jpg,4
/content/drive/MyDrive/dataset/2/survey16.jpg,6
/content/drive/MyDrive/dataset/2/survey17.jpg,7
/content/drive/MyDrive/dataset/2/survey18.jpg,7
/content/drive/MyDrive/dataset/2/survey19.jpg,6
/content/drive/MyDrive/dataset/2/survey20.jpg,1
/content/drive/MyDrive/dataset/2/survey21.jpg,4
/content/drive/MyDrive/dataset/2/survey22.jpg,6
/content/drive/MyDrive/dataset/2/survey23.jpg,5
/content/drive/MyDrive/dataset/2/survey24.jpg,4
/content/drive/MyDrive/dataset/2/survey25.jpg,4
/content/drive/MyDrive/dataset/2/survey26.jpg,7
/content/drive/MyDrive/dataset/2/survey27.jpg,6
/content/drive/MyDrive/dataset/2/survey28.jpg,6
/content/drive/MyDrive/dataset/2/survey29.jpg,7
/content/drive/MyDrive/dataset/2/survey30.jpg,7
/content/drive/MyDrive/dataset/2/survey31.jpg,5
/content/drive/MyDrive/dataset/2/survey32.jpg,5
/content/drive/MyDrive/dataset/2/survey33.jpg,7
/content/drive/MyDrive/dataset/2/survey34.jpg,6
/content/drive/MyDrive/dataset/2/survey35.jpg,5
/content/drive/MyDrive/dataset/2/survey36.jpg,7
/content/drive/MyDrive/dataset/2/survey37.jpg,5
/content/drive/MyDrive/dataset/2/survey38.jpg,4
/content/drive/MyDrive/dataset/2/survey39.jpg,7
/content/drive/MyDrive/dataset/2/survey40.jpg,6
/content/drive/MyDrive/dataset/2/survey41.jpg,6
/content/drive/MyDrive/dataset/2/survey42.jpg,7
/content/drive/MyDrive/dataset/2/survey43.jpg,4
/content/drive/MyDrive/dataset/2/survey44.jpg,5
/content/drive/MyDrive/dataset/2/survey45.jpg,7
/content/drive/MyDrive/dataset/2/survey46.jpg,3
/content/drive/MyDrive/dataset/2/survey47.jpg,4
/content/drive/MyDrive/dataset/2/survey48.jpg,1
/content/drive/MyDrive/dataset/2/survey49.jpg,7
/content/drive/MyDrive/dataset/2/survey50.jpg,5
/content/drive/MyDrive/dataset/3/survey1.jpg,5
/content/drive/MyDrive/dataset/3/survey2.jpg,7
/content/drive/MyDrive/dataset/3/survey3.jpg,6
/content/drive/MyDrive/dataset/3/survey4.jpg,7
/content/drive/MyDrive/dataset/3/survey5.jpg,7
/content/drive/MyDrive/dataset/3/survey6.jpg,6
/content/drive/MyDrive/dataset/3/survey7.jpg,7
/content/drive/MyDrive/dataset/3/survey8.jpg,4
/content/drive/MyDrive/dataset/3/survey9.jpg,6
/content/drive/MyDrive/dataset/3/survey10.jpg,5
/content/drive/MyDrive/dataset/3/survey11.jpg,7
/content/drive/MyDrive/dataset/3/survey12.jpg,2
/content/drive/MyDrive/dataset/3/survey13.jpg,7
/content/drive/MyDrive/dataset/3/survey14.jpg,7
/content/drive/MyDrive/dataset/3/survey15.jpg,7
/content/drive/MyDrive/dataset/3/survey16.jpg,7
/content/drive/MyDrive/dataset/3/survey17.jpg,7
/content/drive/MyDrive/dataset/3/survey18.jpg,2
/content/drive/MyDrive/dataset/3/survey19.jpg,7
/content/drive/MyDrive/dataset/3/survey20.jpg,3
/content/drive/MyDrive/dataset/3/survey21.jpg,5
/content/drive/MyDrive/dataset/3/survey22.jpg,5
/content/drive/MyDrive/dataset/3/survey23.jpg,5
/content/drive/MyDrive/dataset/3/survey24.jpg,6
/content/drive/MyDrive/dataset/3/survey25.jpg,1
/content/drive/MyDrive/dataset/3/survey26.jpg,5
/content/drive/MyDrive/dataset/3/survey27.jpg,6
/content/drive/MyDrive/dataset/3/survey28.jpg,6
/content/drive/MyDrive/dataset/3/survey29.jpg,7
/content/drive/MyDrive/dataset/3/survey30.jpg,7
/content/drive/MyDrive/dataset/3/survey31.jpg,4
/content/drive/MyDrive/dataset/3/survey32.jpg,5
/content/drive/MyDrive/dataset/3/survey33.jpg,7
/content/drive/MyDrive/dataset/3/survey34.jpg,6
/content/drive/MyDrive/dataset/3/survey35.jpg,5
/content/drive/MyDrive/dataset/3/survey36.jpg,7
/content/drive/MyDrive/dataset/3/survey37.jpg,6
/content/drive/MyDrive/dataset/3/survey38.jpg,6
